Entity,Code,Year,GDP from tourism as a share of total GDP
Palau,PLW,2020,9.759381
Palestine,PSE,2009,2.18179
Palestine,PSE,2010,2.54769
Palestine,PSE,2011,1.9277049
Palestine,PSE,2012,2.6719446
Palestine,PSE,2013,2.0681572
Palestine,PSE,2014,2.5998456
Palestine,PSE,2015,1.725375
Palestine,PSE,2016,2.2034993
Palestine,PSE,2017,2.5570233
Palestine,PSE,2018,2.5062194
Palestine,PSE,2019,2.9260921
Palestine,PSE,2020,0.66226494
Panama,PAN,2008,8.3
Panama,PAN,2009,9.1
Panama,PAN,2010,8.9
Panama,PAN,2011,9.2
Panama,PAN,2012,9.3
Panama,PAN,2013,9.1
Paraguay,PRY,2008,0.4
Paraguay,PRY,2009,0.9
Paraguay,PRY,2010,0.8
Paraguay,PRY,2011,0.7
Paraguay,PRY,2012,0.7
Paraguay,PRY,2013,0.7
Paraguay,PRY,2014,0.7
Paraguay,PRY,2015,1.3
Paraguay,PRY,2016,1.3
Paraguay,PRY,2017,1.5
Paraguay,PRY,2018,2.28
Paraguay,PRY,2019,2.46
Paraguay,PRY,2020,0.56
Paraguay,PRY,2021,0.21
Paraguay,PRY,2022,1.09
Peru,PER,2011,3.6
Peru,PER,2012,3.6
Peru,PER,2013,3.7
Peru,PER,2014,3.8
Peru,PER,2015,3.9
Peru,PER,2016,3.9
Peru,PER,2017,3.9
Peru,PER,2018,3.9
Peru,PER,2019,3.9
Peru,PER,2020,1.5
Peru,PER,2021,1.7
Peru,PER,2022,2.3
Philippines,PHL,2008,5.7091746
Philippines,PHL,2009,5.8695664
Philippines,PHL,2010,6.2439795
Philippines,PHL,2011,6.8458033
Philippines,PHL,2012,7.7018456
Philippines,PHL,2013,8.0851
Philippines,PHL,2014,8.853119
Philippines,PHL,2015,9.89692
Philippines,PHL,2016,10.4109
Philippines,PHL,2017,11.742669
Philippines,PHL,2018,12.258074
Philippines,PHL,2019,12.853065
Philippines,PHL,2020,5.1092815
Philippines,PHL,2021,5.176622
Philippines,PHL,2022,6.24646
Poland,POL,2008,2.1699307
Poland,POL,2009,1.5881635
Poland,POL,2010,1.5895287
Poland,POL,2011,1.7824618
Poland,POL,2012,2.1010299
Poland,POL,2013,1.2985176
Poland,POL,2015,1.1746076
Poland,POL,2018,2.1
Poland,POL,2019,2.2
Portugal,PRT,2008,4.07
Portugal,PRT,2009,3.97
Portugal,PRT,2010,4.15
Portugal,PRT,2014,6.4632
Portugal,PRT,2015,6.6815
Portugal,PRT,2016,6.9
Portugal,PRT,2017,7.7
Portugal,PRT,2018,8
Portugal,PRT,2019,8.1
Portugal,PRT,2020,4.4
Portugal,PRT,2021,5.7
Portugal,PRT,2022,8.9
Puerto Rico,PRI,2016,3.4127014
Puerto Rico,PRI,2017,3.4208343
Puerto Rico,PRI,2018,2.9101808
Puerto Rico,PRI,2019,3.4082959
Puerto Rico,PRI,2020,2.7498028
Qatar,QAT,2013,1.8241743
Qatar,QAT,2014,2.0613213
Qatar,QAT,2015,3.1092453
Qatar,QAT,2016,3.8467112
Qatar,QAT,2017,3.4524174
Qatar,QAT,2018,3.1690052
Qatar,QAT,2019,3.267481
Qatar,QAT,2020,1.9815718
Qatar,QAT,2021,2.3188252
Qatar,QAT,2022,3.030223
Reunion,REU,2009,2.41
Reunion,REU,2010,2.7
Reunion,REU,2017,3.201516
Reunion,REU,2019,3.3
Romania,ROU,2011,1.8197323
Romania,ROU,2012,1.8617973
Romania,ROU,2013,1.9364289
Romania,ROU,2014,1.9567752
Romania,ROU,2015,2.4015427
Romania,ROU,2016,2.770082
Romania,ROU,2017,2.7869356
Romania,ROU,2018,2.9089808
Romania,ROU,2019,2.9806798
Romania,ROU,2020,1.5709698
Russia,RUS,2015,3.3
Russia,RUS,2016,3.4
Russia,RUS,2017,2.7
Russia,RUS,2018,2.7
Russia,RUS,2019,2.8
Russia,RUS,2020,2.4
Russia,RUS,2021,2.6
Rwanda,RWA,2014,2.35
Rwanda,RWA,2015,2.72
Rwanda,RWA,2016,3.01
Rwanda,RWA,2017,3.38
Rwanda,RWA,2018,3.44
Rwanda,RWA,2019,3.16
Rwanda,RWA,2020,0.9
Saint Lucia,LCA,2008,30
Saudi Arabia,SAU,2019,3.6308815
Saudi Arabia,SAU,2020,1.6134167
Saudi Arabia,SAU,2021,2.6993418
Sierra Leone,SLE,2017,3.5
Sierra Leone,SLE,2018,4.1
Sierra Leone,SLE,2019,3.7
Sierra Leone,SLE,2020,5.6
Singapore,SGP,2015,2.6276114
Slovakia,SVK,2013,2.35
Slovakia,SVK,2014,2.15
Slovakia,SVK,2015,2.62
Slovakia,SVK,2016,2.68
Slovakia,SVK,2017,2.58
Slovakia,SVK,2018,2.74
Slovakia,SVK,2019,2.86
Slovakia,SVK,2020,1.45
Slovakia,SVK,2021,1.41
Slovenia,SVN,2009,4.8822484
Slovenia,SVN,2012,4.8543224
Slovenia,SVN,2014,4.88984
Slovenia,SVN,2015,4.940713
Slovenia,SVN,2017,5.288913
Slovenia,SVN,2019,5.396535
Slovenia,SVN,2020,3.2748063
South Africa,ZAF,2008,3.038543
South Africa,ZAF,2009,2.899257
South Africa,ZAF,2010,2.9272852
South Africa,ZAF,2011,2.775651
South Africa,ZAF,2012,2.8735263
South Africa,ZAF,2013,3.289304
South Africa,ZAF,2014,3.3642292
South Africa,ZAF,2015,2.8758416
South Africa,ZAF,2016,2.9351497
South Africa,ZAF,2017,2.6065586
South Africa,ZAF,2018,2.759353
South Africa,ZAF,2019,3.6975577
South Africa,ZAF,2020,2.1125731
South Africa,ZAF,2021,2.2563992
South Korea,KOR,2019,2.5
Spain,ESP,2016,6.5
Spain,ESP,2017,6.6
Spain,ESP,2018,6.7
Spain,ESP,2019,6.8
Spain,ESP,2020,5.4
Sri Lanka,LKA,2018,3.34
Sweden,SWE,2008,2.6522903
Sweden,SWE,2009,2.7761447
Sweden,SWE,2010,2.545118
Sweden,SWE,2011,2.611228
Sweden,SWE,2012,2.7430298
Sweden,SWE,2013,2.671468
Sweden,SWE,2014,2.626907
Sweden,SWE,2015,2.649718
Sweden,SWE,2016,2.7374513
Sweden,SWE,2017,2.6005766
Sweden,SWE,2018,2.5982895
Sweden,SWE,2019,2.4398353
Sweden,SWE,2020,1.6913614
Sweden,SWE,2021,1.9300755
Switzerland,CHE,2008,2.9339113
Switzerland,CHE,2009,2.9315739
Switzerland,CHE,2010,2.9131887
Switzerland,CHE,2011,2.8272913
Switzerland,CHE,2012,2.8390048
Switzerland,CHE,2013,2.8618395
Switzerland,CHE,2014,2.849457
Switzerland,CHE,2015,2.8200068
Switzerland,CHE,2016,2.794941
Switzerland,CHE,2017,2.8883963
Switzerland,CHE,2018,2.893352
Switzerland,CHE,2019,2.9199996
Switzerland,CHE,2020,2.069437
Switzerland,CHE,2021,2.1399927
Switzerland,CHE,2022,2.5791626
Tajikistan,TJK,2017,4.655826
Tajikistan,TJK,2018,3.7743456
Tajikistan,TJK,2019,4.3023024
Tajikistan,TJK,2020,2.383698
Tajikistan,TJK,2021,3.3708336
Tajikistan,TJK,2022,3.3708336
Thailand,THA,2010,3.5633943
Thailand,THA,2011,4.198749
Thailand,THA,2012,4.72683
Thailand,THA,2013,5.336111
Thailand,THA,2014,5.162233
Thailand,THA,2015,6.1973557
Thailand,THA,2016,6.897541
Thailand,THA,2017,7.4183803
Thailand,THA,2018,7.4024935
Thailand,THA,2019,7.371805
Thailand,THA,2020,2.2497864
Thailand,THA,2021,0.8410897
Tunisia,TUN,2018,4.139818
Tunisia,TUN,2019,4.494448
Tunisia,TUN,2020,1.6993451
Tunisia,TUN,2021,1.9509805
Tunisia,TUN,2022,3.2277832
Uganda,UGA,2016,3.7
Uganda,UGA,2019,3.640056
Uganda,UGA,2022,2.4384134
United Arab Emirates,ARE,2019,6.1
United Arab Emirates,ARE,2020,3.9
United Arab Emirates,ARE,2021,6.2
United Kingdom,GBR,2008,3.4165876
United Kingdom,GBR,2009,3.4684625
United Kingdom,GBR,2010,3.3834832
United Kingdom,GBR,2011,3.6144369
United Kingdom,GBR,2012,3.722592
United Kingdom,GBR,2013,3.6835966
United Kingdom,GBR,2014,3.6095343
United Kingdom,GBR,2015,3.93745
United Kingdom,GBR,2016,3.4467204
United Kingdom,GBR,2017,3.4237223
United Kingdom,GBR,2018,3.2381542
United Kingdom,GBR,2019,3.6493528
United Kingdom,GBR,2020,1.766005
United States,USA,2008,2.8094015
United States,USA,2009,2.6618192
United States,USA,2010,2.7047336
United States,USA,2011,2.7910194
United States,USA,2012,2.7864292
United States,USA,2014,2.8936422
United States,USA,2015,2.8936422
United States,USA,2016,2.8936422
United States,USA,2017,2.8936422
United States,USA,2018,2.8936422
United States,USA,2019,2.26
United States,USA,2020,1.9
Uruguay,URY,2008,5.8
Uruguay,URY,2009,5.6
Uruguay,URY,2010,6.2
Uruguay,URY,2011,7.4
Uruguay,URY,2012,6.8
Uruguay,URY,2013,6.4
Uruguay,URY,2014,6.3
Uruguay,URY,2015,6.5
Uruguay,URY,2016,7.3
Uruguay,URY,2017,8.5
Uruguay,URY,2018,8.1
Uruguay,URY,2019,7
Vietnam,VNM,2013,6.06
Vietnam,VNM,2014,6.14
Vietnam,VNM,2015,6.33
Vietnam,VNM,2016,6.96
Vietnam,VNM,2017,7.9
Vietnam,VNM,2018,8.39
Vietnam,VNM,2019,9.2
Vietnam,VNM,2020,3.58
Vietnam,VNM,2021,1.97
